Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Final_Score
S3367,Ahmed,Brown,student2367@university.com,Female,23,Engineering,61.82,81.84,77.08,52.32,8.6,58.13,52.26,A,11.2,No,Yes,PhD,High,4,6.3,82.12
S4507,Ahmed,Jones,student3507@university.com,Female,21,CS,73.39,42.62,61.1,93.36,2.5,68.74,79.27,D,8.7,Yes,Yes,PhD,Low,4,5.0,60.54
S1024,Maria,Williams,student24@university.com,Female,20,CS,84.53,51.11,55.59,68.89,9.94,76.05,60.24,A,10.9,Yes,Yes,High School,Low,4,5.7,40.36
S1163,Maria,Smith,student163@university.com,Female,22,Business,83.61,40.26,74.79,62.59,3.65,72.55,98.64,A,11.3,No,Yes,Bachelor's,Medium,7,8.1,50.63
S3324,John,Davis,student2324@university.com,Male,19,Business,92.77,98.95,62.29,95.56,1.55,71.08,51.17,A,9.2,No,Yes,PhD,Medium,5,7.6,86.73
S2234,Sara,Williams,student1234@university.com,Female,24,Engineering,53.25,79.2,88.41,97.22,7.57,56.96,65.78,D,6.6,No,No,Bachelor's,Medium,4,5.9,61.73
S1214,John,Davis,student214@university.com,Male,21,Business,84.13,58.65,73.87,60.66,0.89,92.22,50.57,A,18.6,No,Yes,PhD,Medium,10,8.2,75.97
S1944,Ahmed,Johnson,student944@university.com,Male,18,Engineering,91.62,49.3,74.79,98.06,7.62,69.08,58.24,A,8.1,Yes,No,Master's,High,3,4.6,66.55
S1744,John,Brown,student744@university.com,Female,18,CS,87.19,95.02,94.53,83.66,5.98,65.52,66.24,A,14.8,No,Yes,PhD,Medium,3,4.5,51.95
S5811,Liam,Brown,student4811@university.com,Male,21,Engineering,59.55,89.32,84.43,87.68,4.41,79.15,79.96,F,5.7,No,Yes,PhD,Low,8,7.0,65.66
S3576,Ali,Davis,student2576@university.com,Female,24,Business,75.6,58.48,59.09,96.38,3.62,64.83,62.57,B,23.3,Yes,Yes,High School,Low,8,4.9,65.5
S4241,Maria,Brown,student3241@university.com,Male,20,CS,64.1,82.04,94.72,99.22,9.03,65.42,72.49,D,28.2,No,Yes,PhD,Medium,2,6.1,60.3
S4387,Ahmed,Brown,student3387@university.com,Female,24,Business,53.92,56.65,65.5,86.23,7.89,98.13,71.74,F,7.5,No,Yes,PhD,High,10,7.1,70.62
S2182,Liam,Davis,student1182@university.com,Male,19,CS,64.6,79.01,80.04,97.84,4.72,76.81,97.44,D,19.3,No,Yes,PhD,Medium,7,5.5,73.52
S1640,Emma,Davis,student640@university.com,Female,23,Business,68.94,71.26,64.11,69.03,7.59,94.32,52.64,D,8.3,Yes,Yes,Master's,High,5,8.0,88.17
S4075,Maria,Williams,student3075@university.com,Female,21,Business,91.97,88.14,72.64,67.72,4.13,60.42,50.81,A,5.0,No,Yes,PhD,Low,4,4.0,47.35
S2888,Omar,Brown,student1888@university.com,Female,23,CS,52.33,91.89,72.59,63.21,5.54,89.71,68.03,D,25.8,No,Yes,Bachelor's,Low,1,5.8,80.87
S3359,Ali,Smith,student2359@university.com,Male,23,Business,91.45,66.26,54.06,61.0,0.36,74.75,68.28,A,21.9,No,Yes,High School,Low,6,7.7,89.08
S2492,Omar,Brown,student1492@university.com,Female,22,CS,67.14,54.71,53.99,74.05,4.71,97.58,80.4,F,9.8,No,No,High School,Low,9,4.7,91.16
S2480,John,Johnson,student1480@university.com,Female,20,CS,70.87,86.13,57.54,86.73,6.51,98.52,60.94,B,25.7,Yes,Yes,PhD,High,10,8.4,83.21
S2795,Sara,Brown,student1795@university.com,Male,19,Mathematics,53.1,79.07,72.12,81.86,0.11,58.99,69.84,C,7.4,No,Yes,Master's,Medium,3,6.4,60.23
S1521,Omar,Johnson,student521@university.com,Female,22,CS,76.22,99.04,92.43,61.07,3.25,54.3,83.29,A,17.1,No,Yes,PhD,High,3,8.5,86.78
S2852,Emma,Brown,student1852@university.com,Female,22,Business,80.37,70.31,71.09,61.42,9.34,91.37,93.42,C,24.3,No,Yes,Master's,Low,8,9.0,44.17
S2844,Emma,Williams,student1844@university.com,Female,22,Mathematics,82.49,92.85,64.08,64.47,7.55,67.97,64.69,F,26.1,No,Yes,High School,High,6,4.1,75.34
S3223,Ahmed,Brown,student2223@university.com,Female,22,Engineering,72.1,64.38,76.92,96.39,9.46,68.05,65.77,C,28.7,Yes,Yes,High School,Medium,7,5.5,95.29
S3845,Maria,Johnson,student2845@university.com,Male,24,CS,55.91,70.17,86.4,53.09,7.66,71.47,92.56,D,10.5,No,Yes,Bachelor's,Medium,8,7.4,90.57
S5445,Ali,Brown,student4445@university.com,Male,24,CS,68.84,69.55,74.79,86.8,5.68,92.61,53.33,F,21.9,No,Yes,Master's,High,1,7.5,54.69
S1741,Emma,Williams,student741@university.com,Male,22,Engineering,84.27,97.98,73.94,94.26,8.92,88.06,91.47,D,20.1,Yes,Yes,PhD,Medium,7,6.1,52.85
S3614,Emma,Davis,student2614@university.com,Male,21,Engineering,97.39,89.32,74.79,74.4,1.26,59.2,68.34,A,23.2,No,Yes,PhD,Low,5,6.9,71.21
S5357,Sara,Johnson,student4357@university.com,Female,24,CS,61.24,89.27,59.69,72.52,9.13,82.75,87.67,B,29.4,Yes,Yes,PhD,Low,6,5.3,96.42
S2729,Emma,Brown,student1729@university.com,Female,22,CS,68.42,60.87,61.47,52.31,2.1,80.54,74.75,A,27.7,Yes,Yes,Master's,Medium,4,6.3,52.49
S5214,John,Brown,student4214@university.com,Male,21,Business,58.29,58.22,95.96,99.79,6.34,99.59,71.75,F,7.4,No,Yes,Master's,Low,9,8.6,42.88
S3361,Sara,Johnson,student2361@university.com,Male,18,CS,59.32,45.25,80.88,97.89,3.71,92.07,62.76,D,10.7,Yes,Yes,High School,High,9,8.3,67.98
S4320,Maria,Williams,student3320@university.com,Female,21,Engineering,99.94,57.6,74.79,68.35,2.16,64.93,91.44,A,29.9,No,Yes,Master's,Low,3,7.6,57.24
S4754,Liam,Johnson,student3754@university.com,Male,19,Engineering,54.5,70.15,68.17,98.4,5.19,80.0,75.12,D,12.3,No,Yes,PhD,Medium,9,5.2,54.61
